image_name,target
image_00000.jpg,0.0005300496
image_00001.jpg,0.0017422196
image_00002.jpg,0.014080678
image_00003.jpg,0.00582414
image_00004.jpg,0.0012537026
image_00005.jpg,0.0016930056
image_00006.jpg,0.0006864616
image_00007.jpg,0.00035174537
image_00008.jpg,0.00020273146
image_00009.jpg,0.0007749244
image_00010.jpg,0.0007015815
image_00011.jpg,0.001417702
image_00012.jpg,0.0036561545
image_00013.jpg,0.0002689688
image_00014.jpg,0.0019004864
image_00015.jpg,0.0015386296
image_00016.jpg,0.0008457376
image_00017.jpg,0.0007811839
image_00018.jpg,0.0023956758
image_00019.jpg,0.0006595707
image_00020.jpg,0.0049325763
image_00021.jpg,0.006436344
image_00022.jpg,0.001985248
image_00023.jpg,0.0005269272
image_00024.jpg,0.004372207
image_00025.jpg,0.0011116336
image_00026.jpg,0.0014901011
image_00027.jpg,0.0010310786
image_00028.jpg,0.0019805213
image_00029.jpg,0.009845101
image_00030.jpg,0.0010352965
image_00031.jpg,0.00022914
image_00032.jpg,0.0010165393
image_00033.jpg,0.0028346207
image_00034.jpg,0.0017292678
image_00035.jpg,0.0005088791
image_00036.jpg,0.00026727066
image_00037.jpg,0.0028921128
image_00038.jpg,0.0007163892
image_00039.jpg,0.0077452455
image_00040.jpg,0.0002978786
image_00041.jpg,0.0006843231
image_00042.jpg,0.0021914497
image_00043.jpg,0.0020033484
image_00044.jpg,0.00050684134
image_00045.jpg,0.0006604341
image_00046.jpg,0.0010385412
image_00047.jpg,0.0005011816
image_00048.jpg,0.0034615605
image_00049.jpg,0.0022265257
image_00050.jpg,0.0033843103
image_00051.jpg,0.0008264058
image_00052.jpg,0.001267387
image_00053.jpg,0.0017059001
image_00054.jpg,0.00037368503
image_00055.jpg,0.0019162617
image_00056.jpg,0.0055798474
image_00057.jpg,0.0013143577
image_00058.jpg,0.0003661155
image_00059.jpg,0.000386847
image_00060.jpg,0.00089294155
image_00061.jpg,0.0018163197
image_00062.jpg,0.014374077
image_00063.jpg,0.002131157
